Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Look Alive (feat. Drake),Look Alive (feat. Drake),BlocBoy JB,02-09-2018,USWB11800211,"2,717",27,"98,24,24,606","1,40,455","2,97,53,134",63,"12,31,04,265","9,16,112","2,12,758","1,37,85,747","17,21,91,863","10,09,012",24,"42,470",421,12,"18,818",25,"35,66,36,322","99,595",,"28,79,816",,1
Wake Up! (feat. Juice WRLD),11th Dimension,Ski Mask The Slump God,06-07-2024,USUM72406359,"2,707",27,"28,86,460",470,"47,17,544",,"3,29,080","29,751",,,,,,1,,,,,"3,173",5,"2,60,469",,,1
Midnight Rain,Midnights,Taylor Swift,10/21/2022,USUG12205712,"2,714",27,"65,82,08,129","36,730","2,34,99,391",72,"8,37,95,730","7,57,210","86,657","3,68,93,385","25,63,00,464","20,47,640",26,"2,505",9,2,"1,24,794",26,"96,31,678","8,584",,"3,34,608",,0
"Lagdi Lahore Di (From ""Street Dancer 3D"")","Lagdi Lahore Di (From ""Street Dancer 3D"")",Guru Randhawa,1/15/2020,INS182000105,"2,713",27,"11,28,51,903","8,311","44,16,840",61,"54,09,40,484","29,01,887","29,18,900","1,72,99,421","29,55,49,159","16,95,13,706",7,531,,,,3,,,,"1,25,294",,0
Boo'd Up,Ella Mai,Ella Mai,10-12-2018,USUM71814738,"2,726",27,"7,97,83,827","9,749","29,09,695",53,"60,60,83,529","38,84,982",,,,"9,73,90,609",21,"3,450",,9,"4,74,845",,"30,34,70,045","3,26,293",,"42,30,367",,0
A Mï¿,A Mï¿,Rels B,2/21/2019,QM4TW1987698,"2,716",27,"63,11,52,992","82,632","1,52,85,194",76,"65,54,75,553","30,56,895","1,54,600","5,38,83,893","35,31,57,722",,16,"1,313",,12,"2,22,155",10,"2,19,368","1,301",,"11,36,830",,0
Buttabomma - Telugu,"Buttabomma (From ""Ala Vaikunthapurramuloo"") - Single",Armaan Malik,12/24/2019,INA091916753,"2,722",27,"9,21,20,986","8,924","22,40,190",56,"98,17,23,299","61,95,434",,"1,63,96,111","21,94,66,261",,8,18,,,,4,"9,207",532,,"1,56,960",,0
Burn It Down,Never Enough,Parker McCollum,05-12-2023,USUM72223494,"2,737",26.9,"4,23,32,727","7,018","66,90,589",65,"2,37,41,737","1,16,972","3,495","8,35,693","1,40,14,956","47,93,04,859",22,"1,39,251",5,6,"16,75,871",16,"3,68,72,121","7,254",,"3,07,193",,0
Tu Fan,tu fan,mafalda cardenal,5/26/2023,QZMZ92325070,"2,735",26.9,"6,56,70,361","8,193","46,92,658",66,"9,60,35,934","7,36,076","6,08,500","5,53,79,246","49,31,11,688","3,76,99,119",2,613,,,,,,,,"4,67,250",,0
Whole Lotta Choppas,Whole Lotta Choppas,Sada Baby,8/14/2020,US39N2000446,"2,731",26.9,"5,53,12,275","16,559","23,91,593",45,"3,98,08,873","5,74,179","50,63,590","29,71,05,838","2,18,88,71,458","61,820",19,"5,395",186,3,"1,550",,"47,46,084","9,297",,"7,32,768",,1
Heartless,808s & Heartbreak (Exclusive Edition),Kanye West,01-01-2008,USUM70840511,"2,738",26.9,"1,31,55,77,954","2,61,770","6,05,50,990",79,"36,62,41,783","27,19,377","1,64,714","3,26,05,436","25,03,37,316","10,50,77,315",96,"18,653",67,26,"2,07,876",10,"58,70,55,437","4,18,628","5,49,24,850","37,95,507",,0
Galaxy Express,Galaxy Express - Single,D Gerrard,01-05-2024,THW092305121,"2,732",26.9,"2,07,10,234","1,513","14,65,628",61,"8,90,01,571","3,70,896",,,,"73,60,27,111",7,"1,203",,,,,405,,,"58,364",,0
Skate,Skate,Bruno Mars,7/30/2021,USAT22104222,"2,733",26.9,"24,89,47,222","70,726","1,61,59,530",63,"12,91,02,965","16,76,120","1,494","3,72,385","52,58,682","74,73,85,177",95,"1,22,909",20,51,"7,81,953",36,"1,57,60,107","7,726",,"17,01,042",,0
Mercy,Mercy,Shawn Mendes,8/18/2016,USUM71603531,"2,727",26.9,"1,35,15,15,181","1,14,379","3,39,97,882",74,"60,29,07,962","59,96,722","1,54,068","2,73,90,411","16,91,25,285","1,76,74,579",14,"54,431",245,33,"1,25,150",23,"21,65,11,252","93,292","9,03,940","50,17,015",,0
Dame Tu Cosita (feat. Cutty Ranks),Dame Tu Cosita,El Chombo,4/15/2018,FR6Q11800035,"2,729",26.9,"4,73,25,533","11,423","18,99,926",54,"58,53,19,992","21,36,542","51,61,110","48,42,59,534","6,69,53,34,604",,3,"6,147",13,2,428,,"3,28,189","11,258",,"5,80,948",,0
Enemy - from the series Arcane League of Legends,Enemy (from the series Arcane League of Legends),Imagine Dragons,10/27/2021,USUM72120989,"2,728",26.9,"31,32,09,345","57,092","63,89,142",65,,,"33,762","1,76,69,829","14,54,31,218",,6,,,1,173,1,"2,47,26,484","20,793",,"96,02,713",,0
Dear John,End of the World,Wild Child,3/31/2023,QMB622200356,"2,730",26.9,"2,71,785",152,"7,172",21,"28,12,09,604","16,52,039",,,,"4,83,188",,365,,,,,"7,503",,,,,0
Mount Everest,Mount Everest,Labrinth,6/21/2019,GBHMU1800032,"2,734",26.9,"61,21,59,812","1,28,472","3,30,56,872",72,"21,88,32,200","30,89,060","9,11,853","45,84,25,066","3,49,08,16,416","32,38,676",32,34,301,23,"1,12,133",14,,,,"49,48,372",,1
Escï¿½ï¿½n,Escï¿½ï¿½n,ýýengo Flow,8/25/2023,QZ7R42353128,"2,736",26.9,"6,37,48,913","11,841","91,84,869",60,"10,93,86,782","5,32,629","13,700","4,38,906","46,95,060","43,44,86,494",4,481,113,4,"34,988",,"3,06,518",289,"4,20,845","2,02,893",,1
LAISSE MOI,LAISSE MOI,KeBlack,09-08-2023,DGA092316630,"2,743",26.8,"7,68,05,130","12,362","26,98,463",,"6,20,61,765","2,90,394","1,10,539","2,11,37,395","26,19,58,744","19,69,73,081",7,"12,888",,17,"67,91,140",17,587,,"2,76,434","9,72,269",,1
This Is The Life,This Is The Life,LIZOT,10/13/2023,DEUM72311113,"2,750",26.8,"7,27,73,866","23,003","1,42,86,816",71,"58,68,964","68,984",,,,,15,"1,222",,21,"3,17,385",9,,,"25,75,572","2,09,235",,0
Baianï¿,Baianï¿,Bakermat,7/26/2019,NLE801900440,"2,739",26.8,"40,27,71,910","1,28,641","2,67,35,486",73,"13,13,60,082","13,57,948","3,86,586","7,14,32,760","1,02,81,29,238","2,51,574",76,"20,908",,84,"77,06,000",,"15,76,753","3,177","1,01,15,777","31,35,726",,0
Homicide (feat. Eminem),Homicide,Logic,05-03-2019,USUM71908267,"2,751",26.8,"52,60,19,789","1,02,549","1,94,59,269",64,"27,28,73,622","42,45,401","8,436","22,07,422","2,17,79,736","31,46,026",16,881,,10,"32,864",6,"6,76,10,754","58,919","2,16,66,713","8,50,346",,1
More Than My Hometown,More Than My Hometown,Morgan Wallen,4/17/2020,QZ22S1800117,"2,755",26.8,"50,32,96,417","55,067","87,24,047",74,"19,83,19,407","6,65,110","1,01,364","1,20,89,070","12,45,74,139","36,09,80,228",27,"1,14,836",31,3,"3,237",9,"18,37,87,853","38,592","49,62,564","9,86,413",,0
Work Out,Work Out,J. Cole,07-04-2011,USQX91100801,"2,740",26.8,"95,55,47,971","1,99,078","3,36,81,550",76,"31,09,02,280","23,57,811","83,230","1,53,76,388","13,00,23,976","73,69,620",42,864,92,13,"46,065",9,"73,23,22,744","6,96,800",,"51,04,518",,1
Soltera,ýýpico,Lunay,10/25/2019,USA2P1955945,"2,744",26.8,"17,06,46,969","5,488","10,84,442",47,"99,05,07,015","53,12,366",,,,"29,84,88,940",5,"3,645",2,,,,"1,37,94,016","6,494",,,,0
Fall In Love Alone,Fall In Love Alone,Stacey Ryan,5/13/2022,USUG12202833,"2,746",26.8,"25,06,26,750","28,158","1,18,08,223",66,"4,23,87,613","4,01,947","17,24,955","15,83,58,329","1,88,87,35,985","1,86,03,572",17,"14,448",7,8,"2,96,083",2,"90,855",566,,"4,38,027",,0
Huntinï¿½ï¿½ï¿½ W,Might Delete Later,J. Cole,04-05-2024,USUG12402405,"2,747",26.8,"3,69,72,292","5,914","48,24,184",,"77,53,794","1,39,155",,,,"3,99,839",3,56,,,,,"17,80,082",576,,"66,418",,1
Plain Jane,Plain Jane,A$AP Ferg,08-04-2017,USRC11701803,"2,752",26.8,"73,37,72,721","1,46,447","2,67,77,778",65,"25,10,08,598","32,81,866","16,38,742","8,60,25,556","70,73,93,379","45,19,334",104,362,28,13,"60,539",15,"9,84,62,005","71,224",,"75,70,376",,1
ORANGE SODA,ORANGE SODA,Baby Keem,7/16/2019,QM6N21900076,"2,745",26.8,"67,66,90,653","1,83,862","3,34,70,385",73,"6,91,81,584","9,92,247","62,163","2,60,55,931","20,34,14,980","70,684",34,"9,442",3,8,"26,697",2,"1,24,99,559","25,352",,"12,11,769",,1
Clap For 'Em (feat. Flo Milli & Sada Baby),Clap For 'Em (feat. Flo Milli & Sada Baby),YungManny,3/20/2021,USRC12003901,"2,753",26.8,"2,16,34,137","6,881","18,71,089",40,"11,98,045","19,492","48,57,888","20,02,77,564","1,55,31,41,547",,10,62,11,5,"12,192",,"6,70,016","1,356",,"2,82,245",,1
Righteous,Righteous,Juice WRLD,4/24/2020,USUG12000979,"2,749",26.8,"55,36,27,198","1,08,088","1,88,37,961",64,"29,35,05,196","32,13,599","79,391","59,94,142","4,35,52,260","4,81,93,048",32,298,31,12,"64,179",6,"3,64,71,765","20,123",,"6,72,702",,1
Tï¿½ï¿½ ,Odisea,Ozuna,8/25/2017,USXDR1700551,"2,742",26.8,"50,05,08,660","31,360","1,20,78,276",68,"97,88,38,486","45,06,721","7,74,300","1,47,07,010","13,63,54,987","15,17,43,372",12,"5,291",65,2,"41,455",6,"16,76,09,560","68,009",,"13,25,578",,0
Casei Com a Putaria,Casei Com a Putaria,Mc Paiva ZS,07-01-2022,BXKG22200702,"2,748",26.8,"25,55,64,797","31,242","92,39,751",63,"26,44,86,017","15,23,924","46,722","2,35,05,507","18,36,85,728","17,39,94,448",,43,,23,"21,70,095",7,,,,,,1
9mm,Memphis Cult Vol. 6,Memphis Cult,2/23/2023,UKEX32307199,"2,754",26.8,"15,78,26,873","34,124","2,72,64,746",4,"3,38,74,675","7,06,576",564,"43,560","5,87,731",,5,2,,1,"70,402",,,,"53,31,366","15,30,751",,1
SOLO - Live,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),BLACKPINK,8/30/2019,KRA401900098,"2,741",26.8,"61,97,708",428,"1,85,336",26,"1,10,04,41,738","1,81,79,095",492,"63,986","4,21,369","10,46,59,155",,4,,,,,"1,84,239","1,661",,"5,791",,0
Envy Me,Envy Me,Calboy,9/13/2018,USHM91813257,"2,759",26.7,"49,28,73,992","86,600","1,18,49,689",58,"31,97,20,084","26,60,740","8,44,804","13,20,42,330","1,01,08,01,789","73,34,207",23,"44,994",106,13,"3,55,605",9,"17,01,22,692","1,72,630",,"23,25,132",,1
DEJA VU,DEJA VU,Luan Santana,12-07-2023,BR27R2300050,"2,762",26.7,"11,72,85,775","5,157","1,42,87,746",,"7,43,03,022","5,25,485",,,,"1,32,90,05,783",16,"2,808",,41,"1,04,51,762",17,,,,"79,791",,0
Gï¿½ï¿½r,Gï¿½ï¿½r Bak - Si,Fatih Bulut,03-08-2024,TRBIY2400022,"2,770",26.7,"1,13,15,262",557,"7,65,288",,"5,31,72,804","1,72,426",,,,"8,30,84,501",2,,,1,"15,66,667",,,,,"94,321",,0
vendetta!,vendetta!,MUPP,5/20/2022,QM4TX2285434,"2,773",26.7,"31,79,19,778","77,387","2,71,53,082",68,"5,16,18,223","6,17,981","11,600","68,21,906","6,09,36,894","2,89,98,158",17,,,3,"91,280",,"32,61,038","2,540",,"8,25,474",,1
Tï¿½ï¿½ OK (Re,Tï¿½ï¿½ OK (Remix) (feat. MC Kevin o Ch,DENNIS,08-03-2023,BRSME2301107,"2,775",26.7,"11,26,29,182","13,995","2,14,76,863",68,"4,55,25,215","6,04,580","3,67,300","3,76,24,994","56,97,36,479","2,10,91,552",16,"3,689",,43,"16,73,614",29,"59,97,084","1,423",,"4,88,961",,0
I'll Be Waiting,I'll Be Waiting,Cian Ducrot,11-10-2022,GBUM72205880,"2,756",26.7,"18,50,42,019","41,058","80,54,809",62,"3,59,77,202","4,82,490",923,"70,73,614","6,86,70,799","14,30,11,080",35,"78,838",189,19,"88,224",2,"10,99,976","1,460","18,09,877","9,58,912",,0
Admirin' You (feat. Preston Pablo),Admirin' You (feat. Preston Pablo),Karan Aujla,08-01-2023,CAW112300241,"2,760",26.7,"9,79,89,585","11,146","33,10,108",63,"10,23,63,097","10,45,313",,,,,16,663,,1,117,19,"25,772",17,"27,27,014","1,57,502",,0
Untitled #13,Untitled #13,Glwzbll,04-04-2023,RUA1D2328942,"2,757",26.7,"3,22,44,050","12,908","24,14,592",58,"10,31,48,536","14,93,640","5,49,545","14,44,96,419","1,57,95,23,296",,1,1,,,,,,,"14,11,078","4,16,085",,0
El Belicï¿½,El Belicï¿½,Peso Pluma,02-04-2022,QMFMF2141501,"2,767",26.7,"25,42,75,891","27,949","57,62,358",64,"32,67,75,934","15,25,536","65,900","1,58,83,571","21,74,32,850","33,65,559",10,15,1,,,15,"2,53,41,310","7,579",,"4,88,932",,1
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,4/19/2024,USUG12402541,"2,764",26.7,"8,82,44,010","2,659","85,84,946",,"73,81,186","96,742","5,844","19,25,300","1,46,44,000",,9,91,,1,"21,170",13,"15,97,647",490,,"32,559",,0
Roses (with Juice WRLD feat. Brendon Urie),Roses (with Juice WRLD feat. Brendon Urie),benny blanco,12-05-2018,USUM71820961,"2,772",26.7,"47,58,81,575","74,084","1,15,32,863",57,"4,09,42,190","5,16,795","11,387","39,41,871","4,11,47,911","11,18,318",24,232,,13,"40,167",,"6,56,95,069","80,691","6,78,74,316","7,10,406",,1
BANZAI!,BANZAI!,Kazuo,12/24/2022,JPWP02202338,"2,769",26.7,"1,18,164",91,607,10,"34,19,71,709","12,03,797",4,"2,599","20,739","8,732",,11,,,,,,,,,,1
One Thing Right,One Thing Right (feat. Kane Brown),Marshmello,6/21/2019,US6XF1800275,"2,763",26.7,"54,50,11,148","69,335","1,59,72,797",65,"31,27,75,703","30,80,420","1,34,588","1,70,58,045","17,01,67,441","26,17,19,017",75,"40,925",56,64,"3,49,555",28,"20,97,91,942","1,15,849",,"30,44,970",,0
Wildest Dreams,1989 (Deluxe),Taylor Swift,01-01-2014,USCJY1431379,"2,771",26.7,"96,40,58,806","1,02,916","3,34,15,141",70,"93,09,82,185","55,28,129","3,39,413","13,74,27,132","1,02,59,78,293","1,22,72,41,692",76,"5,572",150,9,"1,30,475",6,"45,01,71,421","2,40,224",,"53,06,715",,0
Calling For You (feat. 21 Savage),For All The Dogs,Drake,10-06-2023,USUG12306068,"2,758",26.7,"7,42,65,576","23,221","31,22,350",,,,,,,,6,"2,407",,5,"1,57,363",,"7,95,559",695,"36,39,035","1,63,845",,1
Like That,WE DON'T TRUST YOU,Future,3/20/2024,USSM12402255,"2,774",26.7,"35,26,23,365",932,"6,22,889",,,,,,,,136,,,2,"1,26,445",,,,,,,0
What About Us,What About Us,P!nk,08-10-2017,USRC11701586,"2,765",26.7,"78,84,03,596","79,260","3,98,89,584",70,"50,83,58,793","31,07,893","38,617","2,29,64,606","21,54,88,504","9,74,54,332",117,"1,27,448",51,68,"9,04,824",34,"24,07,15,082","66,928",,"81,47,466",,0
On The Floor,VTM Kzoom Hits Best Of 2011,Jennifer Lopez,01-01-2011,USUM71100721,"2,768",26.7,"45,62,41,170","89,265","3,42,14,641",69,"2,33,33,47,395","99,71,513","3,41,638","17,13,75,947","1,44,61,46,402","1,77,02,56,542",70,"4,150",48,51,"11,39,278",24,,,,"2,43,509",,0
Mentalitï¿,EP2,Baby Gang,6/17/2022,ITC6Q2200040,"2,761",26.7,"12,06,05,300","50,347","22,57,680",66,"11,63,73,773","10,63,920","3,16,335","1,82,44,859","26,19,74,228","3,38,86,375",6,157,,3,"6,160",8,,,,"18,12,780",,1
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,9/28/2018,USUG11801723,"2,766",26.7,"1,56,98,91,590","1,33,300","5,13,81,606",66,"38,45,90,913","39,35,031","5,92,538","4,61,94,014","53,02,40,861","10,34,87,881",,325,124,35,"44,351",70,,,,,,1
Captain Hook,Suga,Megan Thee Stallion,03-06-2020,QMCE32000098,"2,787",26.6,"19,90,63,354","27,343","1,00,46,715",59,"14,00,58,306","12,31,359","28,80,229","12,87,29,922","1,03,94,48,470","14,02,732",30,"1,605",50,9,"49,722",12,"5,69,91,073","64,313","1,40,93,735","6,92,819",,1
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Djpaoremix,02-03-2023,QZDA42300052,"2,792",26.6,"1,34,274",70,"4,970",,"68,73,380","41,796","21,00,000","2,01,88,963","37,99,26,509",,,,,,,,,,,"3,926",,0
I'll Be There,I'll Be There,Robin Schulz,10/13/2023,DEA622302401,"2,789",26.6,"2,10,67,560","4,684","97,04,010",,"84,46,909","70,328",,"2,53,568","33,85,213","3,31,25,935",21,"1,08,458",19,17,"57,54,915",12,"35,204",22,,"6,33,019",,0
Heavy stunts (with Don Toliver),King tonka,Yeat,05-03-2024,USUM72405093,"2,777",26.6,"1,16,80,886","2,796","44,28,363",,,,,,,,4,26,2,,,9,"23,440",54,"11,25,902","28,986",,1
Time Today,Time Today,Moneybagg Yo,02-03-2021,USUM72101019,"2,785",26.6,"19,10,71,471","61,218","99,16,175",65,"10,99,77,159","10,28,822","60,304","82,45,826","6,78,83,730","6,44,39,007",53,"1,44,521",676,8,"74,205",11,"14,74,67,680","30,372",,"13,81,684",,1
Hold Me While You Wait,Hold Me While You Wait,Lewis Capaldi,05-03-2019,DEUM71900680,"2,790",26.6,"79,35,28,511","99,106","3,62,01,454",70,"31,83,32,999","25,22,360","1,91,871","2,25,45,934","14,00,58,016",195,46,"68,500",98,22,"48,891",11,"7,65,01,913","40,602",,"34,93,866",,0
messy in heaven,messy in heaven,venbee,9/23/2022,GBARL2201891,"2,779",26.6,"12,07,85,398","45,503","98,78,550",59,"2,54,95,861","2,02,181","24,429","37,29,330","6,49,40,140","3,30,803",34,"62,413",231,17,"2,14,166",26,"8,36,667",276,"64,55,224","7,42,291",,0
Maquillaje,Maquillaje - Single,Renn,01-10-2024,QZZ662405291,"2,776",26.6,"7,13,20,813","6,751","2,39,80,309",76,"4,25,38,475","2,87,894",,"7,60,808","76,03,158","2,26,07,618",5,"1,952",,17,"8,17,857",13,"32,907",116,,"4,28,764",,1
Shiver,Shiver,John Summit,2/14/2024,USUG12401003,"2,788",26.6,"3,00,48,265","7,304","2,65,56,055",,"50,98,200","65,463",,,,"5,04,46,943",26,"12,133",50,12,"2,81,673",55,"18,13,290",438,"12,76,726","2,68,143",,0
Novidade na ï¿½ï¿,Novidade na ï¿½ï¿,Mc Livinho,6/23/2023,BCDMP2300045,"2,794",26.6,"19,12,34,818","26,907","1,23,02,377",64,"6,77,53,459","5,93,702",,,,"9,51,48,914",14,"2,970",,21,"3,11,304",6,,,,"2,42,735",,1
Coming for You (feat. A1 x J1),Coming for You (feat. A1 x J1),SwitchOTR,10/29/2021,GBARL2101712,"2,786",26.6,"16,98,96,142","75,491","47,11,796",56,"7,52,89,061","9,45,215","8,97,591","13,01,56,421","1,73,73,82,885","4,06,40,524",13,"7,525",,9,"30,030",4,,,,"10,55,110",,1
Toxic Pony,Toxic Pony (feat. Britney Spears & Ginuwine),ALTï¿½ï,1/21/2022,USRC12200203,"2,783",26.6,"10,32,32,015","33,577","1,52,50,725",60,"96,95,261","1,55,015","22,54,200","27,10,83,554","2,86,60,98,547",,13,"23,216",73,6,"35,415",6,"61,87,775","3,305",,"5,75,418",,0
Grey,Grey - Single,Yung Filly,1/26/2024,GBAHT2400033,"2,780",26.6,"4,88,58,795","9,713","64,87,656",,"1,49,53,162","3,18,976",,"6,79,900","75,40,800","7,05,43,438",18,"2,166",,10,"89,729",1,,,"14,59,822","2,15,596",,0
Aquï¿½ï¿½ A,Aquï¿½ï¿½ A,Christian Nodal,07-10-2020,MXUM72006101,"2,791",26.6,"42,33,13,161","33,148","1,20,12,992",66,"59,72,62,135","25,06,019","18,138","22,57,511","3,54,88,227","1,97,29,407",17,"6,932",341,15,"6,94,760",21,"4,71,14,049","7,626",,"9,02,218",,0
Whistle,Pioneer The Album (Vol.13),Flo Rida,9/27/2010,USAT21201745,"2,784",26.6,"81,42,72,136","1,80,832","4,57,70,125",72,"73,15,56,941","44,47,478","81,387","3,00,75,991","25,77,84,004","14,54,28,852",35,647,35,31,"2,88,330",9,"50,43,89,796","7,08,969",,"91,04,370",,0
Ceux qu'on ï¿½ï¿½,Ceux qu'on ï¿½ï¿½tait - Si,Pierre Garnier,02-07-2024,FRZ052400042,"2,793",26.6,"5,04,98,801","2,884","60,02,529",70,"2,79,05,696","3,61,990",,,,"9,13,99,340",30,"22,697",,40,"1,79,71,354",13,,,,"4,42,987",,0
Apaga El Cel,Apaga El Cel,Calle 24,12/22/2023,USDXS2304292,"2,778",26.6,"14,59,75,016","6,115","1,63,99,686",82,"5,40,43,783","3,10,905",,,,"1,09,87,65,819",4,,,5,"12,65,523",8,,,,"3,26,991",,0
ýýýýýýýýýýýýýýýýýý - ýýýý ýýýýýýýý ýýýýýýýý ýýýýýý,ýýýýýýýýýýýýýýýýýý (ýýýý ýýýýýýýý ýýýýýýýý ýýýýýý),Ahmed Saad,6/20/2023,FRX872398704,"2,781",26.6,"2,05,88,020","3,465","18,20,609",58,"17,91,78,650","6,49,493","1,33,700","92,83,133","27,40,48,028","2,75,79,261",6,"1,323",,3,"29,136",,,,,"1,61,826",,0
Leave Me Alone,Leave Me Alone,Flipp Dinero,3/14/2018,QMKSC1800039,"2,782",26.6,"65,18,63,663","1,22,266","1,79,25,064",62,"36,48,60,562","34,65,425","1,37,815","5,06,21,671","31,80,20,837","13,39,10,430",38,"34,933",223,10,"12,666",1,"16,39,18,855","1,29,261",,"32,63,766",,1
LATTE (feat. Maria Becerra),The Academy: Segunda Misiï¿½,The Academy: Segunda Misiï¿½,3/28/2024,USWL12400693,"2,806",26.5,"2,58,13,787","3,297","1,08,85,827",68,"2,73,40,680","2,05,074",,,,"1,00,30,985",1,477,,,,1,"95,858",48,,"59,027",,1
Rolling in the Deep - Acapella,Rolling In The Deep,Adele,1/16/2011,GBBKS1000427,"2,800",26.5,"1,11,70,019","1,580","2,17,023",36,"2,52,29,03,197","1,31,59,087",,,,"2,05,52,07,182",,"3,49,469",,1,208,,,,,,,0
In My Head,In My Head,Lil Tjay,04-01-2022,USSM12202421,"2,804",26.5,"23,70,61,046","82,335","86,32,456",63,"4,73,78,172","9,23,407",374,"3,56,522","34,42,700","34,14,63,881",13,"13,487",652,14,"94,957",18,"1,26,29,283","6,451",,"6,65,891",,1
Plan A,Plan A,Paulo Londra,3/23/2022,USWL12200224,"2,808",26.5,"27,54,16,061","45,154","60,10,438",58,"23,74,52,601","59,66,974","50,200","3,80,34,415","35,63,27,284","18,32,44,953",17,"12,401",66,13,"69,057",19,"1,27,152",284,,"2,43,094",,0
GoodSin,Avana - EP,Olivetheboy,4/21/2023,TCAGY2352982,"2,802",26.5,"95,13,971","1,470","1,36,347",,"1,74,60,383","97,768","16,26,005","1,79,84,432","26,21,99,462",,5,"1,405",,,,,,,,,,1
Thrift Shop (feat. Wanz),The Heist,Macklemore & Ryan Lewis,10-09-2012,GMM881200022,"2,795",26.5,"1,22,63,81,432","8,351","16,45,328",46,"1,90,51,03,664","1,30,03,790",,,,"34,03,16,264",41,"37,641",112,1,697,,,,,"2,61,17,729",,0
River,River,Bishop Briggs,1/22/2016,TCACL1648391,"2,805",26.5,"54,73,04,707","93,449","1,70,09,946",68,"56,68,95,107","80,58,632","29,27,089","43,26,49,655","4,14,48,83,692","5,60,48,945",48,"23,803",23,11,"5,595",14,"13,65,27,961","1,14,975",,"48,76,569",,0
Dil Diyan Gallan,Tiger Zinda Hai (Original),Atif Aslam,12-12-2017,INY091700035,"2,801",26.5,"20,41,27,666","20,958","1,13,66,583",65,"1,32,68,06,818","76,61,864","1,69,700","35,86,828","6,07,84,930","2,75,72,059",16,"2,497",,1,927,1,761,,,"5,65,775",,0
Little Bit of Love,Little Bit of Love,Tom Grennan,01-08-2021,GBARL2001197,"2,810",26.5,"38,91,64,529","60,436","2,16,04,450",62,"9,67,11,789","5,97,354","22,228","98,69,894","8,29,84,646","2,27,09,518",75,"2,49,186",56,37,"2,12,978",11,"15,55,422",711,"30,87,711","36,54,247",,0
I Knew You Were Trouble.,I Knew You Were Trouble.,Taylor Swift,01-01-2012,USCJY1231039,"2,809",26.5,"83,96,42,356","1,10,606","3,54,86,997",72,"54,54,63,966","40,02,306","7,62,018","54,17,399","4,88,82,930","15,08,33,941",62,"3,816",42,18,"1,05,709",19,"65,34,92,761","7,31,107","8,36,565","95,83,929",,0
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401034,"2,811",26.5,"10,54,24,914","2,473","77,85,632",,"72,27,379","1,13,318",,"3,48,700","25,00,000",,12,241,,3,"52,518",41,"13,32,898",721,,"21,372",,0
The Real Slim Shady,The Source Hip-Hop Hits Vol. 4,Eminem,01-01-2000,USIR10000448,"2,796",26.5,"1,79,80,20,679","3,52,947","7,52,83,550",81,"96,16,66,231","79,27,293","74,682","8,67,40,640","77,10,15,965","56,89,68,886",93,"70,311",82,68,"27,65,272",46,"50,85,75,450","12,63,577","11,31,521","66,37,985",,1
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,Left and Right (Charlie Puth) [feat. Jung Kook of BTS] [Sped Up Version],sped up nightcore,7/18/2022,USAT22210335,"2,807",26.5,"34,92,767",807,"4,84,998",27,"41,21,19,147","86,60,129","1,22,000","18,91,966","2,46,01,626","5,32,24,61,166",1,,,,,8,"8,844",,,,,0
